Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)        V(DOUT0_4)        V(DOUT0_5)        V(DOUT0_6)        V(DOUT0_7)    
50       1.19915153e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00
51       1.21222421e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
52       1.22529689e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
53       1.23836957e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
54       1.25144226e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00
55       1.26451494e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00    1.79999906e+00
56       1.27758762e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00
57       1.29066030e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00
58       1.30373298e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
59       1.31680566e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
60       1.32987834e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
61       1.34295102e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
62       1.35602370e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
63       1.36909638e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
64       1.38216906e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
65       1.39524174e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999907e+00    1.79999907e+00    1.79999907e+00    1.79999907e+00    1.79999907e+00    1.79999907e+00    1.79999907e+00    1.79999907e+00
66       1.42138710e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00
67       1.44753246e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999923e+00    1.79999923e+00    1.79999923e+00    1.79999923e+00    1.79999923e+00    1.79999923e+00    1.79999923e+00    1.79999923e+00
68       1.47367783e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00    1.79999909e+00
69       1.49720865e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999954e+00    1.79999954e+00    1.79999954e+00    1.79999954e+00    1.79999954e+00    1.79999954e+00    1.79999954e+00    1.79999954e+00
70       1.51838639e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00
71       1.53956414e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999859e+00    1.79999859e+00    1.79999859e+00    1.79999859e+00    1.79999859e+00    1.79999859e+00    1.79999859e+00    1.79999859e+00
72       1.56074188e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00
73       1.58191962e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00    1.79999917e+00
74       1.60309736e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00    1.79999910e+00
75       1.62427511e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
76       1.64545285e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00
77       1.66663059e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00    1.79999911e+00
78       1.68780833e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999914e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999914e+00    1.79999913e+00
79       1.70686830e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00
80       1.70971482e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00    1.79999916e+00
81       1.71540786e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00
82       1.72110090e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00
83       1.72679393e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00
84       1.73248697e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00
85       1.73818001e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00    1.79999915e+00
86       1.74387305e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
87       1.74956608e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
88       1.75525912e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
89       1.76095216e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
90       1.76664520e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
91       1.77233824e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
92       1.77803127e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999914e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
93       1.78372431e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
94       1.78941735e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
95       1.79511039e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
96       1.80649646e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
97       1.81593904e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
98       1.82538161e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
99       1.83482418e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
100      1.84426676e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
101      1.86315190e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
102      1.88203705e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
103      1.90092220e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
104      1.91980734e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00
105      1.95757764e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999913e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
106      1.99534793e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
107      2.07088852e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999913e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
108      2.14642911e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00
109      2.20835302e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
110      2.26320088e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999913e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
111      2.31804874e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
112      2.37289660e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
113      2.42774447e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
114      2.48259233e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00
115      2.53744019e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
116      2.59228805e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
117      2.64165113e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
118      2.69101420e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999912e+00    1.79999913e+00    1.79999913e+00    1.79999912e+00    1.79999912e+00    1.79999912e+00    1.79999913e+00    1.79999912e+00
119      2.74037728e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
120      2.78974036e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00    1.79999913e+00
121      2.83910343e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00    1.79999914e+00
122      2.84482770e-09    1.80000000e+00    1.80000000e+00    1.80000000e+00    1.79999909e+00    1.79999910e+00    1.79999909e+00    1.79999910e+00    1.79999909e+00    1.79999910e+00    1.79999909e+00    1.79999910e+00
