Index       TIME             V(CLK0)           V(CSB0)           V(WEB0)         V(DOUT0_0)        V(DOUT0_1)        V(DOUT0_2)        V(DOUT0_3)    
2712     8.66802645e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.28047378e-04    3.01713998e-04    3.01713998e-04    3.01713998e-04
2713     8.69477915e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.39034802e-04    3.07340116e-04    3.07340116e-04    3.07340116e-04
2714     8.72153185e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.43041356e-04    3.09670421e-04    3.09670421e-04    3.09670421e-04
2715     8.74828455e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.44501282e-04    3.11223349e-04    3.11223349e-04    3.11223349e-04
2716     8.77503725e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.38089494e-04    3.17665125e-04    3.17665125e-04    3.17665125e-04
2717     8.77651621e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.46101606e-04    3.27228892e-04    3.27228892e-04    3.27228892e-04
2718     8.77947411e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.53058782e-04    3.39014066e-04    3.39014067e-04    3.39014067e-04
2719     8.78243202e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    8.72059306e-04    2.66519994e-04    2.66519994e-04    2.66519994e-04
2720     8.78538993e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    6.02689384e-04   -9.87344467e-06   -9.87344455e-06   -9.87344451e-06
2721     8.78805204e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.46823142e-04   -4.20192187e-04   -4.20192187e-04   -4.20192187e-04
2722     8.79044794e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.41261155e-04   -4.82468059e-04   -4.82468059e-04   -4.82468059e-04
2723     8.79188551e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.91377382e-04   -8.16515604e-04   -8.16515604e-04   -8.16515604e-04
2724     8.79228701e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    4.44149916e-04   -1.03019110e-03   -1.03019110e-03   -1.03019110e-03
2725     8.79268852e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    5.18638774e-04   -1.32246173e-03   -1.32246173e-03   -1.32246173e-03
2726     8.79309003e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    6.75245735e-04   -1.77068241e-03   -1.77068241e-03   -1.77068241e-03
2727     8.79349153e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    9.25441160e-04   -2.27913212e-03   -2.27913212e-03   -2.27913212e-03
2728     8.79389304e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.20837048e-03   -2.69957646e-03   -2.69957646e-03   -2.69957646e-03
2729     8.79429455e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.48797161e-03   -2.98076977e-03   -2.98076977e-03   -2.98076977e-03
2730     8.79469605e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.75681165e-03   -3.09318172e-03   -3.09318172e-03   -3.09318172e-03
2731     8.79549907e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.25481388e-03   -2.85629786e-03   -2.85629787e-03   -2.85629786e-03
2732     8.79630208e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.66841175e-03   -2.03597363e-03   -2.03597364e-03   -2.03597363e-03
2733     8.79710509e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.98523815e-03   -6.23812838e-04   -6.23812834e-04   -6.23812837e-04
2734     8.79871112e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.34525937e-03    3.93387738e-03    3.93387740e-03    3.93387739e-03
2735     8.80015654e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.54445653e-03    1.11800777e-02    1.11800777e-02    1.11800777e-02
2736     8.80160197e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.67326228e-03    2.24591893e-02    2.24591893e-02    2.24591893e-02
2737     8.80304739e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.69385461e-03    3.80636015e-02    3.80636015e-02    3.80636015e-02
2738     8.80593824e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.55941850e-03    8.01871329e-02    8.01871329e-02    8.01871330e-02
2739     8.80882908e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.48151225e-03    1.43065112e-01    1.43065112e-01    1.43065112e-01
2740     8.81171993e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.47940415e-03    2.45210792e-01    2.45210792e-01    2.45210792e-01
2741     8.81461078e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.44644100e-03    3.65831759e-01    3.65831759e-01    3.65831759e-01
2742     8.81750163e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.35552662e-03    4.71275576e-01    4.71275576e-01    4.71275576e-01
2743     8.82039247e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.23807499e-03    5.59411020e-01    5.59411020e-01    5.59411020e-01
2744     8.82082760e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.21508007e-03    5.71572797e-01    5.71572797e-01    5.71572797e-01
2745     8.82126274e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.19293717e-03    5.83715076e-01    5.83715076e-01    5.83715076e-01
2746     8.82213300e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.14604072e-03    6.07998917e-01    6.07998917e-01    6.07998917e-01
2747     8.82387353e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.01762660e-03    6.57337829e-01    6.57337829e-01    6.57337829e-01
2748     8.82561405e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.78937208e-03    7.08023675e-01    7.08023675e-01    7.08023675e-01
2749     8.82735458e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.41923859e-03    7.59552794e-01    7.59552794e-01    7.59552794e-01
2750     8.82892105e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.87222274e-03    8.05871041e-01    8.05871041e-01    8.05871041e-01
2751     8.83033088e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.40112879e-03    8.47046313e-01    8.47046313e-01    8.47046313e-01
2752     8.83174071e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.44626445e-03    8.87499225e-01    8.87499225e-01    8.87499226e-01
2753     8.83315054e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.57195760e-03    9.27089493e-01    9.27089493e-01    9.27089493e-01
2754     8.83356860e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    3.19086744e-03    9.38610010e-01    9.38610010e-01    9.38610011e-01
2755     8.83440473e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    4.87421369e-03    9.61451204e-01    9.61451204e-01    9.61451204e-01
2756     8.83607699e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.07726343e-02    1.00596156e+00    1.00596156e+00    1.00596156e+00
2757     8.83752152e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.84822120e-02    1.04308357e+00    1.04308357e+00    1.04308357e+00
2758     8.83869846e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.64176846e-02    1.07239113e+00    1.07239113e+00    1.07239113e+00
2759     8.84105235e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    4.53136768e-02    1.12862416e+00    1.12862416e+00    1.12862416e+00
2760     8.84304997e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    6.48499867e-02    1.17400722e+00    1.17400722e+00    1.17400722e+00
2761     8.84484783e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    8.51960428e-02    1.21312042e+00    1.21312042e+00    1.21312042e+00
2762     8.84664569e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.08975768e-01    1.25065342e+00    1.25065342e+00    1.25065342e+00
2763     8.84826376e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.34887540e-01    1.28316016e+00    1.28316016e+00    1.28316016e+00
2764     8.84988183e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    1.67264378e-01    1.31454115e+00    1.31454115e+00    1.31454115e+00
2765     8.85149991e-08    0.00000000e+00    0.00000000e+00    1.80000000e+00    2.06728798e-01    1.34484120e+00    1.34484120e+00    1.34484120e+00
